insectid,measurement,length
1-T2-0-W1,3,4.32
1-T2-0-W2,1,5.49
1-T2-0-W2,2,5.49
1-T2-0-W2,3,5.5
1-T2-0-W3,1,4.95
1-T2-0-W3,2,4.8
1-T2-0-W3,3,4.91
1-T2-0-W4,1,4.88
1-T2-0-W4,2,4.68
1-T2-0-W4,3,4.71
1-T2-0-W5,1,4.71
1-T2-0-W5,2,4.76
1-T2-0-W5,3,4.71
1-T2-0-W6,1,5.47
1-T2-0-W6,2,5.43
1-T2-0-W6,3,5.43
1-T2-0-W7,1,5.95
1-T2-0-W7,2,5.9
1-T2-0-W7,3,5.9
1-T2-0-W8,1,7.18
1-T2-0-W8,2,7.33
1-T2-0-W8,3,7.3
1-T2-0-W9,1,8
1-T2-0-W9,2,8.1
1-T2-0-W9,3,8.05
1-T2-25-B1,1,9.41
1-T2-25-B1,2,9.23
1-T2-25-B1,3,9.27
1-T2-25-B2,1,6.71
1-T2-25-B2,2,6.7
1-T2-25-B2,3,6.67
1-T2-25-B3,1,7.01
1-T2-25-B3,2,6.95
1-T2-25-B3,3,6.96
1-T2-25-W1,1,4.21
1-T2-25-W1,2,4.2
1-T2-25-W1,3,4.2
1-T2-25-W2,1,5.2
1-T2-25-W2,2,5.16
1-T2-25-W2,3,5.1
1-T2-25-W3,1,4.92
1-T2-25-W3,2,4.84
1-T2-25-W3,3,4.87
1-T2-25-W4,1,4.75
1-T2-25-W4,2,4.77
1-T2-25-W4,3,4.74
1-T2-25-W5,1,5.4
1-T2-25-W5,2,5.42
1-T2-25-W5,3,5.29
1-T2-25-W6,1,4.78
1-T2-25-W6,2,4.69
1-T2-25-W6,3,4.63
1-T2-25-W7,1,4.75
1-T2-25-W7,2,4.78
1-T2-25-W7,3,4.73
1-T2-25-W8,1,4.86
1-T2-25-W8,2,4.83
1-T2-25-W8,3,4.82
1-T2-25-W9,1,4.28
1-T2-25-W9,2,4.22
1-T2-25-W9,3,4.31
1-T2-25-W10,1,4.35
1-T2-25-W10,2,4.36
1-T2-25-W10,3,4.31
1-T2-25-W11,1,4.88
1-T2-25-W11,2,4.87
1-T2-25-W11,3,4.88
1-T2-25-W12,1,5.02
1-T2-25-W12,2,5.03
1-T2-25-W12,3,4.98
1-T2-25-W13,1,5.75
1-T2-25-W13,2,5.78
1-T2-25-W13,3,5.76
1-T2-25-W14,1,7.57
1-T2-25-W14,2,7.57
1-T2-25-W14,3,7.67
1-T2-25-W15,1,6.66
1-T2-25-W15,2,6.69
1-T2-25-W15,3,6.77
1-T2-50-W1,1,4.31
1-T2-50-W1,2,4.26
1-T2-50-W1,3,4.32
1-T2-50-W2,1,4.68
1-T2-50-W2,2,4.66
1-T2-50-W2,3,4.64
1-T2-50-W3,1,4.83
1-T2-50-W3,2,4.72
1-T2-50-W3,3,4.72
1-T2-50-W4,1,4.71
1-T2-50-W4,2,4.75
1-T2-50-W4,3,4.69
1-T2-50-W5,1,4.61
1-T2-50-W5,2,4.67
1-T2-50-W5,3,4.69
1-T2-50-W6,1,4.39
1-T2-50-W6,2,4.44
1-T2-50-W6,3,4.44
1-T2-50-W7,1,5.21
1-T2-50-W7,2,5.21
1-T2-50-W7,3,5.26
1-T2-50-W8,1,4.82
1-T2-50-W8,2,4.79
1-T2-50-W8,3,4.8
1-T2-50-W9,1,4.58
1-T2-50-W9,2,4.66
1-T2-50-W9,3,4.59
1-T2-50-W10,1,4.84
1-T2-50-W10,2,4.87
1-T2-50-W10,3,4.87
1-T2-50-W11,1,6
1-T2-50-W11,2,6
1-T2-50-W11,3,5.8
1-T2-50-W12,1,4.45
1-T2-50-W12,2,4.43
1-T2-50-W12,3,4.36
1-T2-50-W13,1,5
1-T2-50-W13,2,4.89
1-T2-50-W13,3,4.96
1-T2-50-W14,1,5.02
1-T2-50-W14,2,5.15
1-T2-50-W14,3,5.04
1-T2-50-W15,1,5.4
1-T2-50-W15,2,5.42
1-T2-50-W15,3,5.34
1-T2-50-W16,1,7.25
1-T2-50-W16,2,7.24
1-T2-50-W16,3,7.24
1-T3-0-B1,1,9.28
1-T3-0-B1,2,9.27
1-T3-0-B1,3,9.41
1-T3-0-B2,1,9.71
1-T3-0-B2,2,9.65
1-T3-0-B2,3,9.54
1-T3-0-B3,1,9.84
1-T3-0-B3,2,9.75
1-T3-0-B3,3,9.88
1-T3-0-W1,1,4.08
1-T3-0-W1,2,4.09
1-T3-0-W1,3,4.06
1-T3-0-W2,1,4.87
1-T3-0-W2,2,4.85
1-T3-0-W2,3,4.84
1-T3-0-W3,1,5.16
1-T3-0-W3,2,5.09
1-T3-0-W3,3,5.11
1-T3-0-W4,1,4.8
1-T3-0-W4,2,4.76
1-T3-0-W4,3,4.79
1-T3-0-W5,1,4.09
1-T3-0-W5,2,4.07
1-T3-0-W5,3,4.06
1-T3-0-W6,1,6.15
1-T3-0-W6,2,6.24
1-T3-0-W6,3,6.25
1-T3-0-W7,1,4.14
1-T3-0-W7,2,4.13
1-T3-0-W7,3,4.09
1-T3-0-W8,1,5.01
1-T3-0-W8,2,5.03
1-T3-0-W8,3,4.94
1-T3-0-W9,1,5.73
1-T3-0-W9,2,5.73
1-T3-0-W9,3,5.81
1-T3-0-W10,1,4.52
1-T3-0-W10,2,4.54
1-T3-0-W10,3,4.53
1-T3-0-W11,1,4.97
1-T3-0-W11,2,5.08
1-T3-0-W11,3,4.92
1-T3-0-W12,1,4.86
1-T3-0-W12,2,4.9
1-T3-0-W12,3,4.87
1-T3-0-W13,1,4.82
1-T3-0-W13,2,4.74
1-T3-0-W13,3,4.77
1-T3-0-W14,1,5.93
1-T3-0-W14,2,5.9
1-T3-0-W14,3,5.81
1-T3-0-W15,1,6.93
1-T3-0-W15,2,6.99
1-T3-0-W15,3,6.9
1-T3-0-W16,1,7.54
1-T3-0-W16,2,7.42
1-T3-0-W16,3,7.6
1-T3-25-W1,1,4.87
1-T3-25-W1,2,4.86
1-T3-25-W1,3,4.82
1-T3-50-W1,1,5.43
1-T3-50-W1,2,5.4
1-T3-50-W1,3,5.42
1-T3-50-W2,1,3.98
1-T3-50-W2,2,3.97
1-T3-50-W2,3,4.02
1-T3-50-W3,1,4.85
1-T3-50-W3,2,4.73
1-T3-50-W3,3,4.82
1-T3-50-W4,1,4.52
1-T3-50-W4,2,4.5
1-T3-50-W4,3,4.48
1-T3-50-W5,1,4.52
1-T3-50-W5,2,4.51
1-T3-50-W5,3,4.67
1-T4-0-B1,1,9.4
1-T4-0-B1,2,9.48
1-T4-0-B1,3,9.41
1-T4-0-B2,1,9.85
1-T4-0-B2,2,9.81
1-T4-0-B2,3,9.93
1-T4-0-B3,1,9.47
1-T4-0-B3,2,9.39
1-T4-0-B3,3,9.32
1-T4-0-W1,1,5.1
1-T4-0-W1,2,5.12
1-T4-0-W1,3,5.11
1-T4-0-W2,1,5.08
1-T4-0-W2,2,5.18
1-T4-0-W2,3,5.1
1-T4-0-W3,1,5.24
1-T4-0-W3,2,5.23
1-T4-0-W3,3,5.23
1-T4-25-B1,1,9.31
1-T4-25-B1,2,9.31
1-T4-25-B1,3,9.24
1-T4-25-W1,1,4.82
1-T4-25-W1,2,4.76
1-T4-25-W1,3,4.68
1-T4-25-W2,1,4.57
1-T4-25-W2,2,4.46
1-T4-25-W2,3,4.49
1-T4-50-B1,1,9.18
1-T4-50-B1,2,9.38
1-T4-50-B1,3,9.48
1-T4-50-B2,1,10.03
1-T4-50-B2,2,10.12
1-T4-50-B2,3,10.03
1-T4-50-B3,1,9.78
1-T4-50-B3,2,9.72
1-T4-50-B3,3,9.67
1-T4-50-B4,1,9.13
1-T4-50-B4,2,8.99
1-T4-50-B4,3,9.06
1-T4-50-B5,1,9.25
1-T4-50-B5,2,9.17
1-T4-50-B5,3,9.05
1-T4-50-B6,1,13.08
1-T4-50-B6,2,13.08
1-T4-50-B6,3,13.07
1-T4-50-B7,1,13.46
1-T4-50-B7,2,13.55
1-T4-50-B7,3,13.57
1-T4-50-W1,1,4.35
1-T4-50-W1,2,4.38
1-T4-50-W1,3,4.38
1-T4-50-W2,1,5.08
1-T4-50-W2,2,5.05
1-T4-50-W2,3,5.06
1-T4-50-W3,1,5.32
1-T4-50-W3,2,5.34
1-T4-50-W3,3,5.36
1-T4-50-W4,1,4.69
1-T4-50-W4,2,4.71
1-T4-50-W4,3,4.62
1-T4-50-W5,1,4.76
1-T4-50-W5,2,4.78
1-T4-50-W5,3,4.8
1-T4-50-W6,1,5.61
1-T4-50-W6,2,5.59
1-T4-50-W6,3,5.66
1-T4-50-W7,1,4.58
1-T4-50-W7,2,4.5
1-T4-50-W7,3,4.49
1-T4-50-W8,1,4.85
1-T4-50-W8,2,4.77
1-T4-50-W8,3,4.86
1-T4-50-W9,1,4.18
1-T4-50-W9,2,4.17
1-T4-50-W9,3,4.18
1-T4-50-W10,1,5.51
1-T4-50-W10,2,5.49
1-T4-50-W10,3,5.41
1-T4-50-W11,1,4.38
1-T4-50-W11,2,4.32
1-T4-50-W11,3,4.32
1-T4-50-W12,1,5.68
1-T4-50-W12,2,5.57
1-T4-50-W12,3,5.59
1-T4-50-W13,1,5.61
1-T4-50-W13,2,5.6
1-T4-50-W13,3,5.58
1-T4-50-W14,1,5.48
1-T4-50-W14,2,5.48
1-T4-50-W14,3,5.5
1-T4-50-W15,1,3.84
1-T4-50-W15,2,3.81
1-T4-50-W15,3,3.79
1-T4-50-W16,1,5.91
1-T4-50-W16,2,5.76
1-T4-50-W16,3,5.89
1-T4-50-W17,1,6.69
1-T4-50-W17,2,6.68
1-T4-50-W17,3,6.71
1-T5-0-B1,1,9.69
1-T5-0-B1,2,9.74
1-T5-0-B1,3,9.63
1-T5-0-B2,1,9.14
1-T5-0-B2,2,9.24
1-T5-0-B2,3,9.11
1-T5-0-B3,1,9.26
1-T5-0-B3,2,9.31
1-T5-0-B3,3,9.25
1-T5-0-B4,1,9.18
1-T5-0-B4,2,9.3
1-T5-0-B4,3,9.33
1-T5-0-B5,1,9.69
1-T5-0-B5,2,9.71
1-T5-0-B5,3,9.61
1-T5-0-B6,1,9.5
1-T5-0-B6,2,9.57
1-T5-0-B6,3,9.6
1-T5-0-W1,1,6.75
1-T5-0-W1,2,6.8
1-T5-0-W1,3,6.89
1-T5-0-W2,1,7.24
1-T5-0-W2,2,7.18
1-T5-0-W2,3,7.08
1-T5-25-B1,1,9.4
1-T5-25-B1,2,9.36
1-T5-25-B1,3,9.48
1-T5-25-B2,1,9.75
1-T5-25-B2,2,9.62
1-T5-25-B2,3,9.62
1-T5-25-W1,1,7.4
1-T5-25-W1,2,7.44
1-T5-25-W1,3,7.43
1-T5-50-B1,1,9.37
1-T5-50-B1,2,9.37
1-T5-50-B1,3,9.41
1-T5-50-B2,1,8.94
1-T5-50-B2,2,9.02
1-T5-50-B2,3,8.94
1-T5-50-B3,1,9.59
1-T5-50-B3,2,9.57
1-T5-50-B3,3,9.69
1-T5-50-W1,1,5.19
1-T5-50-W1,2,5.24
1-T5-50-W1,3,5.2
1-T5-50-W2,1,5.55
1-T5-50-W2,2,5.53
1-T5-50-W2,3,5.53
1-T5-50-W3,1,5.12
1-T5-50-W3,2,5.23
1-T5-50-W3,3,5.2
1-T5-50-W4,1,5.29
1-T5-50-W4,2,5.34
1-T5-50-W4,3,5.37
1-T5-50-W5,1,5.29
1-T5-50-W5,2,5.33
1-T5-50-W5,3,5.36
1-T5-50-W6,1,4.76
1-T5-50-W6,2,4.77
1-T5-50-W6,3,4.79
1-T5-50-W7,1,4.7
1-T5-50-W7,2,4.64
1-T5-50-W7,3,4.71
1-T5-50-W8,1,4.95
1-T5-50-W8,2,5.05
1-T5-50-W8,3,4.92
1-T5-50-W9,1,7.76
1-T5-50-W9,2,7.78
1-T5-50-W9,3,7.76
1-T6-0-B1,1,9.42
1-T6-0-B1,2,9.52
1-T6-0-B1,3,9.36
1-T6-0-W1,1,5.26
1-T6-0-W1,2,5.23
1-T6-0-W1,3,5.23
1-T6-0-W2,1,5.49
1-T6-0-W2,2,5.64
1-T6-0-W2,3,5.5
1-T6-0-W3,1,5.27
1-T6-0-W3,2,5.26
1-T6-0-W3,3,5.32
1-T6-0-W4,1,5.49
1-T6-0-W4,2,5.5
1-T6-0-W4,3,5.49
1-T6-0-W5,1,4.87
1-T6-0-W5,2,4.84
1-T6-0-W5,3,4.81
1-T6-0-W6,1,4.95
1-T6-0-W6,2,5.03
1-T6-0-W6,3,5.01
1-T6-25-B1,1,9.7
1-T6-25-B1,2,9.78
1-T6-25-B1,3,9.85
1-T6-25-B2,1,14.55
1-T6-25-B2,2,14.56
1-T6-25-B2,3,14.54
1-T6-25-W1,1,4.83
1-T6-25-W1,2,4.82
1-T6-25-W1,3,4.84
1-T6-25-W2,1,4.89
1-T6-25-W2,2,4.86
1-T6-25-W2,3,4.81
1-T6-25-W3,1,5.61
1-T6-25-W3,2,5.52
1-T6-25-W3,3,5.52
1-T6-50-B1,1,9.71
1-T6-50-B1,2,9.57
1-T6-50-B1,3,9.67
1-T6-50-B2,1,9.35
1-T6-50-B2,2,9.36
1-T6-50-B2,3,9.31
1-T6-50-W1,1,5.82
1-T6-50-W1,2,5.77
1-T6-50-W1,3,5.72
1-T6-50-W2,1,5.06
1-T6-50-W2,2,5.01
1-T6-50-W2,3,5.08
1-T6-50-W3,1,4.1
1-T6-50-W3,2,4.04
1-T6-50-W3,3,4.03
1-T7-0-B1,1,9.54
1-T7-0-B1,2,9.6
1-T7-0-B1,3,9.58
1-T7-0-B2,1,8.73
1-T7-0-B2,2,8.73
1-T7-0-B2,3,8.74
1-T7-0-B3,1,9.18
1-T7-0-B3,2,9.15
1-T7-0-B3,3,9.18
1-T7-0-B4,1,9.42
1-T7-0-B4,2,9.36
1-T7-0-B4,3,9.34
1-T7-0-B5,1,9.37
1-T7-0-B5,2,9.43
1-T7-0-B5,3,9.36
1-T7-0-B6,1,9.55
1-T7-0-B6,2,9.64
1-T7-0-B6,3,9.63
1-T7-0-B7,1,10.32
1-T7-0-B7,2,10.22
1-T7-0-B7,3,10.3
1-T7-0-B8,1,9.25
1-T7-0-B8,2,9.25
1-T7-0-B8,3,9.26
1-T7-0-B9,1,10.32
1-T7-0-B9,2,10.43
1-T7-0-B9,3,10.3
1-T7-0-B10,1,12.72
1-T7-0-B10,2,12.65
1-T7-0-B10,3,12.7
1-T7-0-W1,1,4.88
1-T7-0-W1,2,4.83
1-T7-0-W1,3,4.86
1-T7-0-W2,1,4.41
1-T7-0-W2,2,4.39
1-T7-0-W2,3,4.38
1-T7-0-W3,1,5.34
1-T7-0-W3,2,5.47
1-T7-0-W3,3,5.51
1-T7-0-W4,1,4.22
1-T7-0-W4,2,4.21
1-T7-0-W4,3,4.11
1-T7-0-W5,1,4.75
1-T7-0-W5,2,4.74
1-T7-0-W5,3,4.87
1-T7-0-W6,1,4.38
1-T7-0-W6,2,4.36
1-T7-0-W6,3,4.34
1-T7-0-W7,1,4.63
1-T7-0-W7,2,4.6
1-T7-0-W7,3,4.66
1-T7-0-W8,1,4.09
1-T7-0-W8,2,4.03
1-T7-0-W8,3,4.04
1-T7-0-W9,1,5.57
1-T7-0-W9,2,5.53
1-T7-0-W9,3,5.38
1-T7-0-W10,1,3.85
1-T7-0-W10,2,3.87
1-T7-0-W10,3,3.87
1-T7-0-W11,1,5.54
1-T7-0-W11,2,5.52
1-T7-0-W11,3,5.5
1-T7-0-W12,1,5.12
1-T7-0-W12,2,5.06
1-T7-0-W12,3,5.07
1-T7-0-W13,1,4.34
1-T7-0-W13,2,4.29
1-T7-0-W13,3,4.34
1-T7-0-W14,1,7.32
1-T7-0-W14,2,7.29
1-T7-0-W14,3,7.3
1-T7-0-W15,1,8.59
1-T7-0-W15,2,8.63
1-T7-0-W15,3,8.49
1-T7-0-W16,1,8.25
1-T7-0-W16,2,8.28
1-T7-0-W16,3,8.32
1-T7-0-W17,1,3.71
1-T7-0-W17,2,3.65
1-T7-0-W17,3,3.66
1-T7-25-B1,1,9.55
1-T7-25-B1,2,9.57
1-T7-25-B1,3,9.65
1-T7-25-B2,1,9.85
1-T7-25-B2,2,9.82
1-T7-25-B2,3,9.85
1-T7-25-W1,1,6.11
1-T7-25-W1,2,6.18
1-T7-25-W1,3,6.16
1-T7-50-B1,1,8.99
1-T7-50-B1,2,9
1-T7-50-B1,3,8.85
1-T7-50-B2,1,9.22
1-T7-50-B2,2,9.29
1-T7-50-B2,3,9.35
1-T7-50-B3,1,9.45
1-T7-50-B3,2,9.38
1-T7-50-B3,3,9.4
1-T7-50-W1,1,5.96
1-T7-50-W1,2,5.99
1-T7-50-W1,3,5.95
1-T7-50-W2,1,4.99
1-T7-50-W2,2,5.02
1-T7-50-W2,3,5.07
1-T7-50-W3,1,4.4
1-T7-50-W3,2,4.3
1-T7-50-W3,3,4.26
1-T7-50-W4,1,4.57
1-T7-50-W4,2,4.51
1-T7-50-W4,3,4.51
1-T7-50-W5,1,4.83
1-T7-50-W5,2,4.8
1-T7-50-W5,3,4.77
1-T7-50-W6,1,5.87
1-T7-50-W6,2,5.88
1-T7-50-W6,3,5.79
1-T7-50-W7,1,5.32
1-T7-50-W7,2,5.25
1-T7-50-W7,3,5.29
1-T7-50-W8,1,7.59
1-T7-50-W8,2,7.52
1-T7-50-W8,3,7.6
1-T8-0-B1,1,9.25
1-T8-0-B1,2,9.23
1-T8-0-B1,3,9.37
1-T8-0-W1,1,5
1-T8-0-W1,2,4.91
1-T8-0-W1,3,5.08
1-T8-0-W2,1,6.6
1-T8-0-W2,2,6.55
1-T8-0-W2,3,6.55
1-T8-0-W3,1,5.89
1-T8-0-W3,2,5.88
1-T8-0-W3,3,5.93
1-T8-0-W4,1,7.03
1-T8-0-W4,2,6.99
1-T8-0-W4,3,7.12
1-T8-0-W5,1,6.47
1-T8-0-W5,2,6.33
1-T8-0-W5,3,6.42
1-T8-0-W6,1,6.25
1-T8-0-W6,2,6.16
1-T8-0-W6,3,6.21
1-T8-0-W7,1,7.9
1-T8-0-W7,2,7.95
1-T8-0-W7,3,7.94
1-T8-0-W8,1,7.71
1-T8-0-W8,2,7.62
1-T8-0-W8,3,7.65
1-T8-0-W9,1,7.74
1-T8-0-W9,2,7.73
1-T8-0-W9,3,7.73
1-T8-25-B1,1,9.41
1-T8-25-B1,2,9.37
1-T8-25-B1,3,9.28
1-T8-25-W1,1,4.75
1-T8-25-W1,2,4.77
1-T8-25-W1,3,4.66
1-T8-25-W2,1,5.35
1-T8-25-W2,2,5.24
1-T8-25-W2,3,5.36
1-T8-25-W3,1,5.73
1-T8-25-W3,2,5.69
1-T8-25-W3,3,5.72
1-T8-25-W4,1,5.01
1-T8-25-W4,2,5
1-T8-25-W4,3,4.99
1-T8-25-W5,1,5.68
1-T8-25-W5,2,5.72
1-T8-25-W5,3,5.73
1-T8-25-W6,1,5
1-T8-25-W6,2,4.99
1-T8-25-W6,3,5.02
1-T8-25-W7,1,5.07
1-T8-25-W7,2,5.04
1-T8-25-W7,3,5.09
1-T8-25-W8,1,5.21
1-T8-25-W8,2,5.26
1-T8-25-W8,3,5.21
1-T8-25-W9,1,4.51
1-T8-25-W9,2,4.42
1-T8-25-W9,3,4.47
1-T8-25-W10,1,5.06
1-T8-25-W10,2,5.1
1-T8-25-W10,3,5.08
1-T8-50-B1,1,9.06
1-T8-50-B1,2,9.12
1-T8-50-B1,3,9.02
1-T8-50-B2,1,6.64
1-T8-50-B2,2,6.79
1-T8-50-B2,3,6.68
1-T8-50-W1,1,4.66
1-T8-50-W1,2,4.63
1-T8-50-W1,3,4.67
1-T8-50-W2,1,5.28
1-T8-50-W2,2,5.2
1-T8-50-W2,3,5.24
1-T8-50-W3,1,4.97
1-T8-50-W3,2,4.99
1-T8-50-W3,3,4.88
1-T8-50-W4,1,5.17
1-T8-50-W4,2,5.25
1-T8-50-W4,3,5.11
1-T8-50-W5,1,5.11
1-T8-50-W5,2,5.14
1-T8-50-W5,3,5.11
1-T8-50-W6,1,5.58
1-T8-50-W6,2,5.47
1-T8-50-W6,3,5.4
1-T8-50-W7,1,4.35
1-T8-50-W7,2,4.45
1-T8-50-W7,3,4.37
1-T8-50-W8,1,5.44
1-T8-50-W8,2,5.45
1-T8-50-W8,3,5.4
1-T8-50-W9,1,4.64
1-T8-50-W9,2,4.74
1-T8-50-W9,3,4.74
1-T8-50-W10,1,4.49
1-T8-50-W10,2,4.57
1-T8-50-W10,3,4.58
1-T8-50-W11,1,6.07
1-T8-50-W11,2,5.97
1-T8-50-W11,3,5.98
1-T8-50-W12,1,4.71
1-T8-50-W12,2,4.61
1-T8-50-W12,3,4.7
1-T8-50-W13,1,4.54
1-T8-50-W13,2,4.55
1-T8-50-W13,3,4.56
1-T8-50-W14,1,4.99
1-T8-50-W14,2,5.09
1-T8-50-W14,3,4.92
1-T8-50-W15,1,5.69
1-T8-50-W15,2,5.58
1-T8-50-W15,3,5.68
1-T8-50-W16,1,4.73
1-T8-50-W16,2,4.68
1-T8-50-W16,3,4.71
1-T8-50-W17,1,4.61
1-T8-50-W17,2,4.61
1-T8-50-W17,3,4.64
1-T8-50-W18,1,5.95
1-T8-50-W18,2,6
1-T8-50-W18,3,5.93
1-T8-50-W19,1,5.97
1-T8-50-W19,2,6.02
1-T8-50-W19,3,5.98
1-T8-50-W20,1,4.4
1-T8-50-W20,2,4.4
1-T8-50-W20,3,4.45
1-T8-50-W21,1,4
1-T8-50-W21,2,4.01
1-T8-50-W21,3,4.06
1-T8-50-W22,1,5.08
1-T8-50-W22,2,5.14
1-T8-50-W22,3,5.04
1-T8-50-W23,1,4.7
1-T8-50-W23,2,4.8
1-T8-50-W23,3,4.71
1-T8-50-W24,1,5.33
1-T8-50-W24,2,5.35
1-T8-50-W24,3,5.26
1-T8-50-W25,1,7.29
1-T8-50-W25,2,7.25
1-T8-50-W25,3,7.15
1-T8-50-W26,1,6.84
1-T8-50-W26,2,6.72
1-T8-50-W26,3,6.76
1-T8-50-W27,1,7.13
1-T8-50-W27,2,7.16
1-T8-50-W27,3,7.08
1-T9-0-B1,1,9.22
1-T9-0-B1,2,9.36
1-T9-0-B1,3,9.3
1-T9-0-B2,1,8.94
1-T9-0-B2,2,8.94
1-T9-0-B2,3,9.01
1-T9-0-B3,1,6.77
1-T9-0-B3,2,6.83
1-T9-0-B3,3,6.8
1-T9-0-W1,1,7.79
1-T9-0-W1,2,7.69
1-T9-0-W1,3,7.78
1-T9-0-W2,1,8
1-T9-0-W2,2,8.08
1-T9-0-W2,3,8.05
1-T9-0-W3,1,7.09
1-T9-0-W3,2,7.08
1-T9-0-W3,3,7.06
1-T9-0-W4,1,6.58
1-T9-0-W4,2,6.47
1-T9-0-W4,3,6.56
1-T9-0-W5,1,6.57
1-T9-0-W5,2,6.58
1-T9-0-W5,3,6.56
1-T9-0-W6,1,5.89
1-T9-0-W6,2,5.92
1-T9-0-W6,3,5.86
1-T9-0-W7,1,5.4
1-T9-0-W7,2,5.4
1-T9-0-W7,3,5.37
1-T9-0-W8,1,5.61
1-T9-0-W8,2,5.47
1-T9-0-W8,3,5.59
1-T9-0-W9,1,5.55
1-T9-0-W9,2,5.63
1-T9-0-W9,3,5.56
1-T9-0-W10,1,5.01
1-T9-0-W10,2,5.1
1-T9-0-W10,3,5.02
1-T9-0-W11,1,5.19
1-T9-0-W11,2,5.18
1-T9-0-W11,3,5.19
1-T9-0-W12,1,4.97
1-T9-0-W12,2,4.96
1-T9-0-W12,3,5.06
1-T9-0-W13,1,4.96
1-T9-0-W13,2,4.93
1-T9-0-W13,3,5
1-T9-0-W14,1,4.2
1-T9-0-W14,2,4.12
1-T9-0-W14,3,4.17
1-T9-0-W15,1,5.42
1-T9-0-W15,2,5.32
1-T9-0-W15,3,5.49
1-T9-0-W16,1,5.11
1-T9-0-W16,2,5.13
1-T9-0-W16,3,5.17
1-T9-25-B1,1,9.47
1-T9-25-B1,2,9.45
1-T9-25-B1,3,9.32
1-T9-25-B2,1,9.25
1-T9-25-B2,2,9.17
1-T9-25-B2,3,9.25
1-T9-25-W1,1,5.82
1-T9-25-W1,2,5.84
1-T9-25-W1,3,5.79
1-T9-25-W2,1,5.49
1-T9-25-W2,2,5.51
1-T9-25-W2,3,5.49
1-T9-25-W3,1,4.06
1-T9-25-W3,2,3.99
1-T9-25-W3,3,4.08
1-T9-25-W4,1,5.07
1-T9-25-W4,2,5.08
1-T9-25-W4,3,4.99
1-T9-50-B1,1,6.38
1-T9-50-B1,2,6.54
1-T9-50-B1,3,6.47
1-T9-50-W1,1,4.64
1-T9-50-W1,2,4.69
1-T9-50-W1,3,4.69
1-T9-50-W2,1,5.96
1-T9-50-W2,2,5.97
1-T9-50-W2,3,5.95
1-T9-50-W3,1,5.4
1-T9-50-W3,2,5.49
1-T9-50-W3,3,5.48
1-T9-50-W4,1,4.51
1-T9-50-W4,2,4.67
1-T9-50-W4,3,4.64
1-T9-50-W5,1,7.7
1-T9-50-W5,2,7.69
1-T9-50-W5,3,7.71
1-T9-50-W6,1,6.7
1-T9-50-W6,2,6.67
1-T9-50-W6,3,6.72
1-T10-0-B1,1,9.29
1-T10-0-B1,2,9.39
1-T10-0-B1,3,9.28
1-T10-0-W1,1,4.92
1-T10-0-W1,2,4.91
1-T10-0-W1,3,4.87
1-T10-0-W2,1,6.34
1-T10-0-W2,2,6.4
1-T10-0-W2,3,6.51
1-T10-25-B1,1,9.65
