insectid,round,transect,distance,soild13c,soild15n,soilccombust,soilncombust,soilcnratio,moisture,trophic,species,median,sex
2-T3-50-B2,2,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Zacotus matthewsii,9.72,F
2-T4-0-B3,2,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,9.93,F
2-T4-0-B4,2,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,9.54,F
2-T4-0-B5,2,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,10.04,F
2-T4-50-B2,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.66,F
2-T4-50-B3,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.76,F
2-T4-50-B4,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.35,F
2-T4-50-B5,2,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.45,F
2-T5-0-B2,2,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,9.58,F
2-T5-0-B1,2,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Zacotus matthewsii,9.81,F
2-T5-25-B1,2,T5,25,-27.18,3.71,43.32,1.81,23.9,4.101,Carabidae,Zacotus matthewsii,9.53,F
2-T5-50-B1,2,T5,50,-26.57,3.09,37.03,1.62,22.9,1.517,Carabidae,Zacotus matthewsii,9.45,F
2-T6-50-B1,2,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.24,F
2-T7-0-B4,2,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,10.11,F
2-T7-50-B1,2,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.47,F
2-T7-50-B2,2,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,10.29,F
2-T7-50-B3,2,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.23,F
2-T8-0-B1,2,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,10.24,F
2-T8-0-B2,2,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.49,F
2-T8-0-B3,2,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.24,F
2-T8-25-B2,2,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.5,F
2-T8-50-B2,2,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,6.35,F
2-T8-50-B1,2,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Scaphinotus angusticollis,13.82,F
2-T9-0-B4,2,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Leistus ferruginosus,5.49,F
2-T9-0-B2,2,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Zacotus matthewsii,9.14,F
2-T9-25-B2,2,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Scaphinotus angusticollis,13.55,F
2-T9-25-B1,2,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.35,F
2-T9-50-B3,2,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Scaphinotus angusticollis,13.51,F
2-T9-50-B2,2,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Zacotus matthewsii,9.68,F
3-T1-0-B1,3,T1,0,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Zacotus matthewsii,9.63,F
3-T1-0-B2,3,T1,0,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Zacotus matthewsii,9.81,F
3-T1-0-B3,3,T1,0,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Zacotus matthewsii,9.18,F
3-T1-0-B4,3,T1,0,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Zacotus matthewsii,9.51,F
3-T1-0-B5,3,T1,0,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Zacotus matthewsii,9.32,F
3-T1-50-B1,3,T1,50,-27.16,2.45,51.52,1.05,49.1,4.982,Carabidae,Cychrus tuberculatus,12.82,F
3-T10-25-B1,3,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Zacotus matthewsii,8.83,F
3-T10-25-B2,3,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Zacotus matthewsii,9.05,F
3-T10-50-B3,3,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Pterostichus amethystinus,6.51,F
3-T10-50-B1,3,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Zacotus matthewsii,9.06,F
3-T2-0-B1,3,T2,0,-27.34,8.81,52.84,1.49,35.5,4.588,Carabidae,Zacotus matthewsii,9.67,F
3-T2-25-B1,3,T2,25,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Cychrus tuberculatus,13.03,F
3-T2-25-B2,3,T2,25,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Pterostichus amethystinus,6.7,F
3-T2-50-B3,3,T2,50,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Pterostichus amethystinus,6.58,F
3-T2-50-B4,3,T2,50,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Pterostichus amethystinus,6.75,F
3-T2-50-B5,3,T2,50,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Pterostichus amethystinus,7.74,F
3-T2-50-B1,3,T2,50,-26.28,4.74,42.96,1.18,36.4,4.628,Carabidae,Zacotus matthewsii,9.27,F
3-T3-25-B2,3,T3,25,-26.59,3.56,54.12,1.08,50.1,5.041,Carabidae,Pterostichus amethystinus,6.7,F
3-T4-0-B4,3,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,10.1,F
3-T4-0-B1,3,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Zacotus matthewsii,9.32,F
3-T4-0-B3,3,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Zacotus matthewsii,9.74,F
3-T4-25-B2,3,T4,25,-26.38,3.79,52.02,1.32,39.4,7.351,Carabidae,Pterostichus crenicollis,9.59,F
3-T4-25-B1,3,T4,25,-26.38,3.79,52.02,1.32,39.4,7.351,Carabidae,Zacotus matthewsii,9.7,F
3-T4-50-B5,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,14,F
3-T4-50-B6,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Scaphinotus angusticollis,13.67,F
3-T4-50-B1,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.38,F
3-T4-50-B2,3,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.81,F
3-T5-0-B3,3,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,10.2,F
3-T5-0-B1,3,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Zacotus matthewsii,9.78,F
3-T5-25-B1,3,T5,25,-27.18,3.71,43.32,1.81,23.9,4.101,Carabidae,Pterostichus amethystinus,7.01,F
3-T5-50-B1,3,T5,50,-26.57,3.09,37.03,1.62,22.9,1.517,Carabidae,Scaphinotus angusticollis,13.44,F
3-T6-25-B5,3,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Pterostichus amethystinus,6.16,F
3-T6-25-B2,3,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Zacotus matthewsii,9.77,F
3-T6-25-B3,3,T6,25,-28,3.29,52.33,1.68,31.2,2.546,Carabidae,Zacotus matthewsii,9.52,F
3-T6-50-B4,3,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Scaphinotus angusticollis,12.93,F
3-T6-50-B2,3,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.37,F
3-T6-50-B3,3,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.03,F
3-T7-0-B2,3,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.17,F
3-T7-25-B1,3,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,9.61,F
3-T7-25-B2,3,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,8.9,F
3-T7-25-B3,3,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,9.65,F
3-T7-50-B1,3,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,8.95,F
3-T7-50-B3,3,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.78,F
3-T7-50-B4,3,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,8.86,F
3-T7-50-B5,3,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.62,F
3-T7-50-B6,3,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.65,F
3-T8-0-B6,3,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Pterostichus crenicollis,9.88,F
3-T8-0-B1,3,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.11,F
3-T8-0-B2,3,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.74,F
3-T8-0-B3,3,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.78,F
3-T8-0-B4,3,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.78,F
3-T8-0-B5,3,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,10.06,F
3-T8-25-B1,3,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.62,F
3-T8-25-B3,3,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.4,F
3-T8-25-B4,3,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.7,F
3-T8-50-B1,3,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,6.41,F
3-T8-50-B4,3,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,7.51,F
3-T8-50-B5,3,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,6.54,F
3-T9-0-B1,3,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Zacotus matthewsii,9.1,F
3-T9-25-B1,3,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,8.71,F
3-T9-25-B2,3,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.27,F
3-T9-50-B2,3,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Zacotus matthewsii,9.77,F
4-T1-0-B1,4,T1,0,-26.99,6.83,52.57,1.28,41.1,5.057,Carabidae,Zacotus matthewsii,9.57,F
4-T1-25-B1,4,T1,25,-26.48,8.3,30.95,0.66,46.9,2.641,Carabidae,Pterostichus amethystinus,6.28,F
4-T10-25-B6,4,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Pterostichus amethystinus,7.39,F
4-T10-25-B3,4,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Scaphinotus angusticollis,13.76,F
4-T10-25-B2,4,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Zacotus matthewsii,9.56,F
4-T10-50-B3,4,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Pterostichus amethystinus,6.34,F
4-T10-50-B4,4,T10,50,-26.74,1.68,53.4,1.21,44.1,4.111,Carabidae,Pterostichus amethystinus,5.96,F
4-T3-0-B2,4,T3,0,-27.62,6.98,52.82,1.67,31.6,5.079,Carabidae,Scaphinotus angusticollis,13.55,F
4-T3-25-B2,4,T3,25,-26.59,3.56,54.12,1.08,50.1,5.041,Carabidae,Pterostichus amethystinus,7.09,F
4-T3-25-B3,4,T3,25,-26.59,3.56,54.12,1.08,50.1,5.041,Carabidae,Pterostichus crenicollis,10.01,F
4-T3-25-B1,4,T3,25,-26.59,3.56,54.12,1.08,50.1,5.041,Carabidae,Zacotus matthewsii,9,F
4-T3-50-B3,4,T3,50,-27.4,3.13,50.79,1.32,38.5,4.599,Carabidae,Pterostichus amethystinus,6.33,F
4-T4-0-B3,4,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,9.92,F
4-T4-0-B1,4,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Zacotus matthewsii,9.22,F
4-T4-50-B7,4,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Pterostichus amethystinus,6.8,F
4-T4-50-B8,4,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Pterostichus amethystinus,6.45,F
4-T4-50-B1,4,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,10.2,F
4-T4-50-B4,4,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.23,F
4-T5-0-B2,4,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,10.07,F
4-T5-0-B3,4,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,10.22,F
4-T5-0-B5,4,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Pterostichus crenicollis,9.93,F
4-T5-0-B1,4,T5,0,-26.75,7.08,42.12,1.79,23.5,2.995,Carabidae,Zacotus matthewsii,9.64,F
4-T5-25-B2,4,T5,25,-27.18,3.71,43.32,1.81,23.9,4.101,Carabidae,Zacotus matthewsii,9.78,F
4-T5-50-B1,4,T5,50,-26.57,3.09,37.03,1.62,22.9,1.517,Carabidae,Pterostichus amethystinus,6.8,F
4-T6-0-B1,4,T6,0,-27.24,8.69,49.39,2.35,21,3.905,Carabidae,Zacotus matthewsii,9.42,F
4-T6-50-B1,4,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.45,F
4-T6-50-B2,4,T6,50,-27.71,4.07,30.07,1.44,20.9,4.77,Carabidae,Zacotus matthewsii,9.12,F
4-T7-0-B3,4,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Pterostichus amethystinus,6.94,F
4-T7-0-B4,4,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Pterostichus amethystinus,6.54,F
4-T7-0-B1,4,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,9.12,F
4-T7-0-B2,4,T7,0,-27.82,9.24,51.65,2,25.8,1.699,Carabidae,Zacotus matthewsii,8.91,F
4-T7-25-B4,4,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Pterostichus amethystinus,6.51,F
4-T7-25-B1,4,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,9.14,F
4-T7-25-B2,4,T7,25,-26.54,5.3,26.33,1.15,22.9,1.958,Carabidae,Zacotus matthewsii,10.67,F
4-T7-50-B5,4,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Pterostichus amethystinus,6.64,F
4-T7-50-B1,4,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.48,F
4-T7-50-B2,4,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.72,F
4-T7-50-B3,4,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.35,F
4-T7-50-B4,4,T7,50,-27.22,3.8,48.32,2.24,21.6,4.455,Carabidae,Zacotus matthewsii,9.54,F
4-T8-0-B1,4,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.83,F
4-T8-0-B3,4,T8,0,-26.66,8.91,53.83,1.58,34.1,4.005,Carabidae,Zacotus matthewsii,9.83,F
4-T8-25-B7,4,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Pterostichus amethystinus,7.07,F
4-T8-25-B2,4,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.25,F
4-T8-25-B4,4,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.73,F
4-T8-25-B6,4,T8,25,-27.35,3.92,52.9,1.65,32.1,4.798,Carabidae,Zacotus matthewsii,9.59,F
4-T8-50-B2,4,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,7.02,F
4-T8-50-B3,4,T8,50,-27.24,4.01,54.01,1.41,38.3,4.101,Carabidae,Pterostichus amethystinus,7.09,F
4-T9-0-B2,4,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Pterostichus crenicollis,9.45,F
4-T9-0-B3,4,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Pterostichus crenicollis,9.23,F
4-T9-0-B1,4,T9,0,-27.78,5.77,53.08,1.52,34.9,4.775,Carabidae,Zacotus matthewsii,9.47,F
4-T9-25-B6,4,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Pterostichus amethystinus,6.82,F
4-T9-25-B8,4,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Pterostichus crenicollis,10.27,F
4-T9-25-B1,4,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.55,F
4-T9-25-B2,4,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.84,F
4-T9-25-B3,4,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.62,F
4-T9-25-B4,4,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.56,F
4-T9-25-B5,4,T9,25,-27.09,5.31,37.95,1.75,21.7,3.987,Carabidae,Zacotus matthewsii,9.53,F
4-T9-50-B1,4,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Zacotus matthewsii,9.7,F
4-T9-50-B2,4,T9,50,-26.18,5.93,42.06,1.43,29.4,3.66,Carabidae,Zacotus matthewsii,9.46,F
1-T10-0-B1,1,T10,0,-26.95,6.39,44.92,1.49,30.2,5.654,Carabidae,Zacotus matthewsii,9.29,M
1-T10-25-B2,1,T10,25,-27.54,5.66,51.9,1.71,30.4,5.151,Carabidae,Scaphinotus angusticollis,12.43,M
1-T2-0-B2,1,T2,0,-27.34,8.81,52.84,1.49,35.5,4.588,Carabidae,Zacotus matthewsii,9.01,M
1-T2-25-B2,1,T2,25,-27.74,4.26,52.51,0.97,54.1,3.459,Carabidae,Pterostichus amethystinus,6.7,M
1-T4-0-B2,1,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,9.85,M
1-T4-0-B3,1,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Pterostichus crenicollis,9.39,M
1-T4-0-B1,1,T4,0,-27.3,7.3,50.38,1.77,28.5,6.674,Carabidae,Zacotus matthewsii,9.41,M
1-T4-50-B1,1,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.38,M
1-T4-50-B2,1,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,10.03,M
1-T4-50-B4,1,T4,50,-27.27,4.47,52.97,1.34,39.5,7.413,Carabidae,Zacotus matthewsii,9.06,M
