InsectID,Sampling Round,Transect,Distance,makeup,bodyd13C,bodyd15N,bodyccombust,bodyncombust,bodycnratio,soild13C,soild15N,soilccombust,soilncombust,soilcnratio,moisture,trophic,species,medianelytronlength
1-T7-0-W3,1,T7,0,3,-25.45,3.65,51.91,8.48,6.1,-27.82,9.24,51.65,2,25.8,1.699,Curculionidae,Steremnius carinatus,5.47
1-T7-0-W4,1,T7,0,3,-25.45,3.65,51.91,8.48,6.1,-27.82,9.24,51.65,2,25.8,1.699,Curculionidae,Steremnius carinatus,4.21
4-T7-0-W4,4,T7,0,3,-25.45,3.65,51.91,8.48,6.1,-27.82,9.24,51.65,2,25.8,1.699,Curculionidae,Steremnius carinatus,5.64
3-T8-0-W1,3,T8,0,3,-25.68,2.45,51.12,8.75,5.8,-26.66,8.91,53.83,1.58,34.1,4.005,Curculionidae,Steremnius carinatus,4.79
3-T8-0-W3,3,T8,0,3,-25.68,2.45,51.12,8.75,5.8,-26.66,8.91,53.83,1.58,34.1,4.005,Curculionidae,Steremnius carinatus,4.96
4-T8-0-W1,4,T8,0,3,-25.68,2.45,51.12,8.75,5.8,-26.66,8.91,53.83,1.58,34.1,4.005,Curculionidae,Steremnius carinatus,5.03
2-T9-0-W3,2,T9,0,3,-25.59,3.77,50.39,8.88,5.7,-27.78,5.77,53.08,1.52,34.9,4.775,Curculionidae,Steremnius carinatus,4.77
3-T9-0-W6,3,T9,0,3,-25.59,3.77,50.39,8.88,5.7,-27.78,5.77,53.08,1.52,34.9,4.775,Curculionidae,Steremnius carinatus,5.29
3-T9-0-W7,3,T9,0,3,-25.59,3.77,50.39,8.88,5.7,-27.78,5.77,53.08,1.52,34.9,4.775,Curculionidae,Steremnius carinatus,4.81
2-T1-25-W1,2,T1,25,3,-26.15,1.69,53.41,8.19,6.5,-26.48,8.3,30.95,0.66,46.9,2.641,Curculionidae,Steremnius carinatus,4.33
3-T1-25-W7,3,T1,25,3,-26.15,1.69,53.41,8.19,6.5,-26.48,8.3,30.95,0.66,46.9,2.641,Curculionidae,Steremnius carinatus,4.77
4-T1-25-W2,4,T1,25,3,-26.15,1.69,53.41,8.19,6.5,-26.48,8.3,30.95,0.66,46.9,2.641,Curculionidae,Steremnius carinatus,5.7
2-T10-25-W12,2,T10,25,3,-25.21,1.45,49.75,8.78,5.7,-27.54,5.66,51.9,1.71,30.4,5.151,Curculionidae,Steremnius carinatus,4.45
3-T10-25-W23,3,T10,25,3,-25.21,1.45,49.75,8.78,5.7,-27.54,5.66,51.9,1.71,30.4,5.151,Curculionidae,Steremnius carinatus,5.77
4-T10-25-W23,4,T10,25,3,-25.21,1.45,49.75,8.78,5.7,-27.54,5.66,51.9,1.71,30.4,5.151,Curculionidae,Steremnius carinatus,5.01
2-T2-25-W12,2,T2,25,3,-25.71,2.21,53.42,8.22,6.5,-27.74,4.26,52.51,0.97,54.1,3.459,Curculionidae,Steremnius carinatus,4.63
3-T2-25-W2,3,T2,25,3,-25.71,2.21,53.42,8.22,6.5,-27.74,4.26,52.51,0.97,54.1,3.459,Curculionidae,Steremnius carinatus,4.77
3-T2-25-W3,3,T2,25,3,-25.71,2.21,53.42,8.22,6.5,-27.74,4.26,52.51,0.97,54.1,3.459,Curculionidae,Steremnius carinatus,4.84
1-T3-25-W1,1,T3,25,3,-27.51,3.68,54.05,8.4,6.4,-26.59,3.56,54.12,1.08,50.1,5.041,Curculionidae,Steremnius carinatus,4.86
3-T3-25-W1,3,T3,25,3,-27.51,3.68,54.05,8.4,6.4,-26.59,3.56,54.12,1.08,50.1,5.041,Curculionidae,Steremnius carinatus,5.63
4-T3-25-W1,4,T3,25,3,-27.51,3.68,54.05,8.4,6.4,-26.59,3.56,54.12,1.08,50.1,5.041,Curculionidae,Steremnius carinatus,4.88
1-T4-25-W1,1,T4,25,3,-25.68,-0.92,50.3,8.29,6.1,-26.38,3.79,52.02,1.32,39.4,7.351,Curculionidae,Steremnius carinatus,4.76
1-T4-25-W2,1,T4,25,3,-25.68,-0.92,50.3,8.29,6.1,-26.38,3.79,52.02,1.32,39.4,7.351,Curculionidae,Steremnius carinatus,4.49
4-T4-25-W1,4,T4,25,3,-25.68,-0.92,50.3,8.29,6.1,-26.38,3.79,52.02,1.32,39.4,7.351,Curculionidae,Steremnius carinatus,5.1
3-T5-25-W2,3,T5,25,3,-25.7,2.03,49.87,9.06,5.5,-27.18,3.71,43.32,1.81,23.9,4.101,Curculionidae,Steremnius carinatus,5.16
4-T5-25-W1,4,T5,25,3,-25.7,2.03,49.87,9.06,5.5,-27.18,3.71,43.32,1.81,23.9,4.101,Curculionidae,Steremnius carinatus,5.13
4-T5-25-W3,4,T5,25,3,-25.7,2.03,49.87,9.06,5.5,-27.18,3.71,43.32,1.81,23.9,4.101,Curculionidae,Steremnius carinatus,5.04
2-T6-25-W2,2,T6,25,3,-25.54,3.83,50.04,9.24,5.4,-28,3.29,52.33,1.68,31.2,2.546,Curculionidae,Steremnius carinatus,3.94
4-T6-25-W2,4,T6,25,3,-25.54,3.83,50.04,9.24,5.4,-28,3.29,52.33,1.68,31.2,2.546,Curculionidae,Steremnius carinatus,5.68
4-T6-25-W5,4,T6,25,3,-25.54,3.83,50.04,9.24,5.4,-28,3.29,52.33,1.68,31.2,2.546,Curculionidae,Steremnius carinatus,5.13
3-T8-25-W6,3,T8,25,3,-25.4,4.45,49.64,9.06,5.5,-27.35,3.92,52.9,1.65,32.1,4.798,Curculionidae,Steremnius carinatus,5.3
3-T8-25-W9,3,T8,25,3,-25.4,4.45,49.64,9.06,5.5,-27.35,3.92,52.9,1.65,32.1,4.798,Curculionidae,Steremnius carinatus,4.66
4-T8-25-W10,4,T8,25,3,-25.4,4.45,49.64,9.06,5.5,-27.35,3.92,52.9,1.65,32.1,4.798,Curculionidae,Steremnius carinatus,5.44
2-T9-25-W2,2,T9,25,3,-25.7,3.06,51.31,8.76,5.9,-27.09,5.31,37.95,1.75,21.7,3.987,Curculionidae,Steremnius carinatus,5.54
4-T9-25-W2,4,T9,25,3,-25.7,3.06,51.31,8.76,5.9,-27.09,5.31,37.95,1.75,21.7,3.987,Curculionidae,Steremnius carinatus,4.62
4-T9-25-W3,4,T9,25,3,-25.7,3.06,51.31,8.76,5.9,-27.09,5.31,37.95,1.75,21.7,3.987,Curculionidae,Steremnius carinatus,3.67
3-T1-50-W3,3,T1,50,3,-26.84,0.01,59.08,8.2,7.2,-27.16,2.45,51.52,1.05,49.1,4.982,Curculionidae,Steremnius carinatus,4.51
4-T1-50-W2,4,T1,50,3,-26.84,0.01,59.08,8.2,7.2,-27.16,2.45,51.52,1.05,49.1,4.982,Curculionidae,Steremnius carinatus,5.11
4-T1-50-W3,4,T1,50,3,-26.84,0.01,59.08,8.2,7.2,-27.16,2.45,51.52,1.05,49.1,4.982,Curculionidae,Steremnius carinatus,4.96
2-T10-50-W1,2,T10,50,3,-26.34,2,53.09,8.69,6.1,-26.74,1.68,53.4,1.21,44.1,4.111,Curculionidae,Steremnius carinatus,4.41
2-T10-50-W2,2,T10,50,3,-26.34,2,53.09,8.69,6.1,-26.74,1.68,53.4,1.21,44.1,4.111,Curculionidae,Steremnius carinatus,5.06
4-T10-50-W2,4,T10,50,3,-26.34,2,53.09,8.69,6.1,-26.74,1.68,53.4,1.21,44.1,4.111,Curculionidae,Steremnius carinatus,4.81
1-T2-50-W11,1,T2,50,3,-25.68,0.05,52.32,8.16,6.4,-26.28,4.74,42.96,1.18,36.4,4.628,Curculionidae,Steremnius carinatus,6
1-T2-50-W12,1,T2,50,3,-25.68,0.05,52.32,8.16,6.4,-26.28,4.74,42.96,1.18,36.4,4.628,Curculionidae,Steremnius carinatus,4.43
3-T2-50-W7,3,T2,50,3,-25.68,0.05,52.32,8.16,6.4,-26.28,4.74,42.96,1.18,36.4,4.628,Curculionidae,Steremnius carinatus,4.43
1-T3-50-W5,1,T3,50,3,-26.29,2.67,50.17,8.51,5.9,-27.4,3.13,50.79,1.32,38.5,4.599,Curculionidae,Steremnius carinatus,4.52
3-T3-50-W2,3,T3,50,3,-26.29,2.67,50.17,8.51,5.9,-27.4,3.13,50.79,1.32,38.5,4.599,Curculionidae,Steremnius carinatus,5.76
3-T3-50-W4,3,T3,50,3,-26.29,2.67,50.17,8.51,5.9,-27.4,3.13,50.79,1.32,38.5,4.599,Curculionidae,Steremnius carinatus,5.06
1-T4-50-W4,1,T4,50,3,-26.02,2.89,54.58,9.41,5.8,-27.27,4.47,52.97,1.34,39.5,7.413,Curculionidae,Steremnius carinatus,4.69
2-T4-50-W8,2,T4,50,3,-26.02,2.89,54.58,9.41,5.8,-27.27,4.47,52.97,1.34,39.5,7.413,Curculionidae,Steremnius carinatus,5.55
4-T4-50-W14,4,T4,50,3,-26.02,2.89,54.58,9.41,5.8,-27.27,4.47,52.97,1.34,39.5,7.413,Curculionidae,Steremnius carinatus,4.73
3-T5-50-W3,3,T5,50,3,-25.34,1.49,53.11,8.77,6.1,-26.57,3.09,37.03,1.62,22.9,1.517,Curculionidae,Steremnius carinatus,4.97
3-T5-50-W11,3,T5,50,3,-25.34,1.49,53.11,8.77,6.1,-26.57,3.09,37.03,1.62,22.9,1.517,Curculionidae,Steremnius carinatus,5.2
4-T5-50-W9,4,T5,50,3,-25.34,1.49,53.11,8.77,6.1,-26.57,3.09,37.03,1.62,22.9,1.517,Curculionidae,Steremnius carinatus,4.72
1-T6-50-W3,1,T6,50,3,-25.69,-0.41,49.74,8.98,5.5,-27.71,4.07,30.07,1.44,20.9,4.77,Curculionidae,Steremnius carinatus,4.04
3-T6-50-W1,3,T6,50,3,-25.69,-0.41,49.74,8.98,5.5,-27.71,4.07,30.07,1.44,20.9,4.77,Curculionidae,Steremnius carinatus,5.18
4-T6-50-W1,4,T6,50,3,-25.69,-0.41,49.74,8.98,5.5,-27.71,4.07,30.07,1.44,20.9,4.77,Curculionidae,Steremnius carinatus,4.55
1-T7-50-W3,1,T7,50,3,-25.7,3.09,49.8,9.14,5.5,-27.22,3.8,48.32,2.24,21.6,4.455,Curculionidae,Steremnius carinatus,4.3
3-T7-50-W7,3,T7,50,3,-25.7,3.09,49.8,9.14,5.5,-27.22,3.8,48.32,2.24,21.6,4.455,Curculionidae,Steremnius carinatus,4.79
3-T7-50-W8,3,T7,50,3,-25.7,3.09,49.8,9.14,5.5,-27.22,3.8,48.32,2.24,21.6,4.455,Curculionidae,Steremnius carinatus,5.72
1-T8-50-W7,1,T8,50,3,-26.24,2.69,53.56,8.45,6.3,-27.24,4.01,54.01,1.41,38.3,4.101,Curculionidae,Steremnius carinatus,4.37
4-T8-50-W2,4,T8,50,3,-26.24,2.69,53.56,8.45,6.3,-27.24,4.01,54.01,1.41,38.3,4.101,Curculionidae,Steremnius carinatus,4.68
4-T8-50-W8,4,T8,50,3,-26.24,2.69,53.56,8.45,6.3,-27.24,4.01,54.01,1.41,38.3,4.101,Curculionidae,Steremnius carinatus,4.49
1-T9-50-W1,1,T9,50,3,-25.62,2.16,50.73,8.89,5.7,-26.18,5.93,42.06,1.43,29.4,3.66,Curculionidae,Steremnius carinatus,4.69
1-T9-50-W3,1,T9,50,3,-25.62,2.16,50.73,8.89,5.7,-26.18,5.93,42.06,1.43,29.4,3.66,Curculionidae,Steremnius carinatus,5.48
2-T9-50-W1,2,T9,50,3,-25.62,2.16,50.73,8.89,5.7,-26.18,5.93,42.06,1.43,29.4,3.66,Curculionidae,Steremnius carinatus,4.67
